Kingdom;Phylum;Class;Order;Family;Genus;Species
045378a167642aa6659c5b54e76c19b8;NA;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Chryseotalea;NA
045454dd254e21c1989fa112a5968cc8;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
045827908b35db05c1ae29ac02202f14;NA;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA;NA
046e7ef606c1037a08c150e9efc8cd98;NA;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;NA;NA
047ac295e17d1ce3f0a3c418e4196885;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA
0481942ff3fea1e3d8f91ae80bd3b95a;NA;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rubellimicrobium;NA
048999dfba5ee2776298b80573811f12;NA;Pseudomonadota;Alphaproteobacteria;Micavibrionales;NA;NA;NA
048af6a559902cceb36079f4adcac0c8;NA;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA
048fff8ab93bb218b186c0f8f7a6a108;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;NA
049853cb965b577ab3ac9426c330816e;NA;Acidobacteriota;Vicinamibacteria;Subgroup 17;NA;NA;NA
0498f86fba71855ff52bdd3bfd300d28;NA;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA
049fa42514f109e6c7bb8e5745ecc75a;NA;Patescibacteria;Parcubacteria;NA;NA;NA;NA
04a579464d16c03d8c99695f19266ddf;NA;Bacillota;Bacilli;Mycoplasmatales;Mycoplasmataceae;type III;NA
04a9372e7648af5defe3d510ee6ce395;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
04b001f08d310fd6970c8305c0c9902f;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
04d7d8ef6858696518944f92c86b4b4c;NA;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;NA
04ea8f81ff8595988e8580c0fdce14be;NA;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora;NA
04f51943d571a45c460f69297fa106c8;NA;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;NA
04f93198e53c3cb44abd3894cbced066;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
051035a09ecee6bcafcd661db396dc5c;NA;Chloroflexota;JG30-KF-CM66;NA;NA;NA;NA
05193e14bc1f9c9bf5c09fe2b45f88bb;NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade;NA
051ecb7927a726ade3a833623dc552ef;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
05266ffc5b8f7a8fa957769a8c3f1ac0;NA;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
05396a0a6965221f0f6a6593255cd25f;NA;Acidobacteriota;Subgroup 11;NA;NA;NA;NA
055265032d14f635b34e5b495d3d7cd4;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
0583815be7ee516f79d92400b5c6225a;NA;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea;NA
0588957181bae048c87be9adc3f6a71a;NA;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;NA
0597275e3ab30bf330d773bff753b3a7;NA;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;NA
0598b0eb4568ceeb8aa1b38235285495;NA;Pseudomonadota;Gammaproteobacteria;Rickettsiellales;Rickettsiellaceae;NA;NA
05a94a72e24df643692472a7302a14c0;NA;Planctomycetota;Planctomycetes;NA;NA;NA;NA
05bb8c9654a47296d7832e27ae1e2207;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;NA
05c528725dc0780789460b620b5b2f0b;NA;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;NA;NA
05c594817dbd554b0d248ba6fa56aca4;NA;Chloroflexota;Anaerolineae;Caldilineales;Caldilineaceae;NA;NA
05d4c9ded91b5108dec555e382a4a362;NA;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia;NA
05d51afccfdfc50d24525ec0157191a5;NA;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Rufibacter;NA
05d76b9db25676934b90e158076f816d;NA;Gemmatimonadota;AKAU4049;NA;NA;NA;NA
05d87c323b592008cc6d025627c48118;NA;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;NA;NA
05de76662241f51b472e99b4e5c7e435;NA;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Opitutaceae;Opitutus;NA
05f0cb6bfd267dc2c02597e0c09e1d70;NA;Planctomycetota;Phycisphaerae;CCM11a;NA;NA;NA
05fb4d9a3b4b233c80b8bcfe064312b2;NA;NA;NA;SJA-28;NA;NA;NA
05fcc3602bfdaa4a36d24a6517dec512;NA;Chloroflexota;KD4-96;NA;NA;NA;NA
06064c1bdb3731843c1a386255e7d8f3;NA;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;NA
0624e46a8e21b9be977cdba8c6df2838;NA;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;NA;NA
06281457b2f83b71269f7cd2b3ff8c0f;NA;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;NA
063058451bff6eba9eea786a38b9916a;NA;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;NA
063495ea3250ffd0270eed6ba66cd037;NA;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA
06465588d7687ba7391adc8c2de25ae5;NA;Planctomycetota;Pla4 lineage;NA;NA;NA;NA
0661848e820ced5116f3d9cac1ccb229;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
06753a0cc96e4cdec59abdfc02235756;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
